,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price,order_date,ship_date, different Month,Year,Day,Hours,Minutes,vlookup,hlookup
0,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",11-11-2016,11-11-2017,12,1,365,8760,525600,HP,Mac OS Big Sur
1,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",12-11-2016,13-11-2016,0,0,1,24,1440,,#N/A
2,Apple,2020 Macbook Air,M1,Mac OS Big Sur,256 GB,8 GB,33.78 cm (13.3 inch),No,"₹70,990",13-11-2016,16-11-2015,11,0,363,8712,522720,,Windows 11 Home
3,Apple,2020 Macbook Air,M1,Mac OS Big Sur,256 GB,8 GB,33.78 cm (13.3 inch),No,"₹70,990",14-11-2016,18-11-2014,23,1,727,17448,1046880,,Windows 11 Home
4,Apple,2020 Macbook Air,M1,Mac OS Big Sur,256 GB,8 GB,33.78 cm (13.3 inch),No,"₹70,990",15-11-2016,20-11-2013,35,2,1091,26184,1571040,,#N/A
5,Lenovo,V15 G3 IAP,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹49,990",16-11-2016,22-11-2012,47,3,1455,34920,2095200,,Windows 11 Home
6,ASUS,X515EA-EJ522WS,Core i5,Windows 11 Home,NA,8 GB,39.62 cm (15.6 Inch),No,"₹40,990",17-11-2016,25-11-2011,59,4,1819,43656,2619360,,Windows 11 Home
7,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",18-11-2016,27-11-2010,71,5,2183,52392,3143520,,Windows 11 Home
8,ASUS,X1500EA-EJ311W,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990",19-11-2016,29-11-2009,83,6,2547,61128,3667680,,Windows 11 Home
9,HP,15-fb0147AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹45,990",20-11-2016,01-12-2008,95,7,2911,69864,4191840,,Windows 11 Home
10,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",21-11-2016,04-12-2007,107,8,3275,78600,4716000,,Windows 11 Home
11,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",22-11-2016,06-12-2006,119,9,3639,87336,5240160,,Windows 11 Home
12,DELL,New Inspiron 15 Laptop,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹45,999",23-11-2016,08-12-2005,131,10,4003,96072,5764320,,Windows 11 Home
13,ASUS,Gaming F15,Core i5,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,"₹47,990",24-11-2016,10-12-2004,143,11,4367,104808,6288480,,Windows 11 Home
14,ASUS,E510MA-EJ001W,Celeron Dual Core,Windows 11 Home,256 GB,4 GB,39.62 cm (15.6 Inch),No,"₹19,990",25-11-2016,13-12-2003,155,12,4731,113544,6812640,,Windows 11 Home
15,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",26-11-2016,15-12-2002,167,13,5095,122280,7336800,,Windows 11 Home
16,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",27-11-2016,17-12-2001,179,14,5459,131016,7860960,,Windows 11 Home
17,Lenovo,Lenovo V15,Celeron Dual Core,Windows 11 Home,NA,8 GB,39.62 cm (15.6 inch),No,"₹22,990",28-11-2016,19-12-2000,191,15,5823,139752,8385120,,Windows 11 Home
18,Acer,EX215-23,Ryzen 5 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹29,990",29-11-2016,22-12-1999,203,16,6187,148488,8909280,,Windows 11 Home
19,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",30-11-2016,24-12-1998,215,17,6551,157224,9433440,,Windows 11 Home
